ID,zgrism,e_zgrism,E_zgrism,logMgrism,e_logMgrism,E_logMgrism,logsSFR,e_logsSFR,E_logsSFR,Avmag,e_Avmag,E_Avmag,logS1,e_logS1,E_logS1,tQ,e_tQ,E_tQ,z50,e_z50,E_z50,field,gid,fitting_region_160,fitting_region_125,fitting_region_850,new
GND-33453,0.9390000000000001,0.003,0.003,10.62,0.05,0.04,-12.2,0.6,0.3,0.18,0.12,0.26,9.72,0.05,0.05,2.1,1.2,1.0,3.2,0.9,2.2,GND,33453,masked,small,small,yes
GND-23758,0.941,0.002,0.002,11.19,0.04,0.03,-11.9,0.2,0.4,0.49,0.35,0.55,10.13,0.03,0.03,1.5,0.6,0.3,3.3,0.6,0.4,GND,23758,masked,masked,masked,no
GND-22246,0.9420000000000001,0.001,0.001,11.05,0.02,0.01,-12.2,0.3,0.2,0.0,0.0,0.02,10.04,0.02,0.02,2.2,0.9,0.6,5.2,1.1,1.7,GND,22246,masked,small,small,yes
GND-26673,0.9420000000000001,0.001,0.001,10.72,0.02,0.01,-11.9,0.5,0.1,0.07,0.04,0.1,9.82,0.02,0.02,1.1,0.4,0.2,2.1,0.2,0.1,GND,26673,small,small,small,yes
GND-27951,0.943,0.004,0.004,11.19,0.01,0.03,-12.3,0.5,0.1,0.09,0.06,0.13,10.2,0.03,0.03,0.4,0.4,0.2,8.1,1.4,1.6,GND,27951,masked,masked,masked,yes
GND-37340,0.945,0.001,0.001,11.01,0.01,0.01,-12.4,0.3,0.1,0.02,0.01,0.02,10.17,0.02,0.02,1.3,0.2,0.2,3.7,0.3,0.2,GND,37340,masked,small,small,yes
GND-12793,0.953,0.002,0.004,10.86,0.03,0.02,-11.4,0.2,0.2,0.14,0.08,0.23,9.91,0.03,0.03,1.9,0.4,0.2,2.7,0.3,0.2,GND,12793,masked,small,small,yes
GSD-38191,0.977,0.002,0.003,10.6,0.03,0.02,-11.6,0.1,0.7,0.21,0.14,0.24,9.76,0.03,0.03,1.4,0.6,0.2,2.8,0.3,0.2,GSD,38191,masked,small,small,yes
GSD-39850,0.98,0.001,0.001,10.67,0.02,0.02,-12.3,0.4,0.4,0.04,0.02,0.08,9.97,0.03,0.03,1.8,0.6,0.2,2.3,0.3,0.1,GSD,39850,masked,masked,small,yes
GND-36161,0.981,0.034,0.01,10.73,0.04,0.04,-11.7,0.3,0.5,0.0,0.0,0.04,9.91,0.05,0.05,1.3,1.1,0.5,2.6,0.7,0.4,GND,36161,masked,small,small,yes
GSD-19148,0.982,0.001,0.001,11.39,0.02,0.02,-12.6,0.4,0.2,0.18,0.11,0.24,10.38,0.03,0.03,0.9,1.2,0.5,2.9,0.3,0.2,GSD,19148,masked,small,medium,yes
GND-22363,1.004,0.002,0.002,10.68,0.01,0.01,-11.9,0.1,0.2,0.01,0.01,0.02,9.94,0.02,0.02,1.4,0.4,0.2,3.7,0.5,0.1,GND,22363,masked,medium,large,no
GND-27185,1.016,0.002,0.003,11.11,0.03,0.03,-11.8,0.2,0.5,0.35,0.26,0.43,10.28,0.04,0.04,2.0,0.5,0.4,3.0,0.5,0.5,GND,27185,masked,masked,masked,no
GSD-42221,1.016,0.004,0.003,10.68,0.04,0.02,-11.6,0.2,0.1,0.02,0.01,0.09,9.72,0.03,0.03,1.2,0.4,0.4,3.1,0.4,0.3,GSD,42221,small,masked,masked,no
GND-16758,1.016,0.001,0.001,10.98,0.04,0.03,-11.7,0.4,0.2,0.56,0.51,0.62,10.07,0.06,0.06,1.2,0.6,0.5,2.5,0.4,0.4,GND,16758,masked,masked,large,no
GND-12078,1.016,0.001,0.002,10.8,0.03,0.02,-10.9,0.1,0.9,0.27,0.17,0.36,9.89,0.03,0.03,1.8,0.5,0.2,2.1,0.3,0.2,GND,12078,masked,masked,small,no
GSD-39170,1.018,0.001,0.001,11.4,0.02,0.02,-12.5,0.1,0.6,0.02,0.01,0.05,10.37,0.03,0.03,0.5,1.6,0.2,6.4,1.4,1.5,GSD,39170,masked,small,small,no
GSD-43615,1.021,0.002,0.001,10.88,0.01,0.02,-11.8,0.4,0.1,0.39,0.34,0.42,9.99,0.04,0.04,0.4,0.3,0.3,5.7,0.8,0.6,GSD,43615,masked,medium,medium,no
GND-22633,1.022,0.006999999999999999,0.006,10.72,0.08,0.03,-10.8,0.3,0.4,0.87,0.73,0.93,9.79,0.08,0.08,2.1,0.9,0.8,2.6,0.7,0.8,GND,22633,masked,small,small,no
GSD-39241,1.024,0.001,0.003,11.11,0.02,0.02,-11.9,0.1,0.3,0.26,0.22,0.3,10.15,0.03,0.03,1.4,0.4,0.2,3.9,0.7,0.3,GSD,39241,small,small,masked,no
